Drink Volume,Drink Name,Attributes,Energy,Protein,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Carbohydrate,Total Sugars,Dietary Fibre,Sodium,Vitamin B1,Vitamin B6,Vitamin C,Sugars,Vitamin E,Beta Carotene,Vitamin A,Total Sugar,Vitamin B3,Vitamin D3,Carbohydrates,Calcium,Iron,Potassium,Niacinamide,Vitamin B,Anthocyanins,Calories,Thiamin,Vitamin D,Folate,Folic Acid,Total Carbohydrate,Saturates,Salt,Sugar,Vitamin,Fat,Fibre,Includes Added Sugars,Fiber,fat,sugars,Fats,saturates,Saturated Fats,fats,Saturaed Fat,Per Serving,Total Calories,Dietary Fiber,Proteins
30 x 140ml (CTN),YOU-C1000 Vitamin Bottle Drink - Apple,Per Serving (140ml),60kcal,0.0g,0.0g,0.0g,,,14.0g,14.0g,,45mg,,,,,,,,,,,,,,,2.0mg,,,,,,,,,,,,1000mg,,,,,,,,,,,,,,,
12 X 500ML,CocoCoast Natural Coconut Water with Ginger,Per Serving (250),92kj,0g,,0g,,,6g,5.5g,,20mg,,,,,,,,,,,,,,95mg,,,,,,,,,,,,,,0g,,,,,,,,,,,100ml,,,
12 X 1L,The Berry Company Pomegranate Juice,Per Serving (100ml),,,,,,,10.2g,,,,,,,9.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 X 1L,The Berry Company Goji Berry Juice,Per Serving (100ml),,,,,,,10g,,,,,,,9.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 X 1L,The Berry Company Acai Berry Juice,Per Serving (100ml),,,,,,,10.2g,,,,,,,9.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 X 325ML,Sundrop Orange Juice (325ml x 4 cans) - Pack of 2,Per Serving (),,,,,,,,,,,,,,5.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100ml,,,
4 X 325ML,Sundrop Lime Juice (325ml x 4 cans) - Pack of 2,Per Serving (),,,,,,,,,,,,,,5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100ml,,,
24 X 325ML,Sundrop Orange Juice 325ml x 24 cans,Per Serving (),,,,,,,,,,,,,,5.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100ml,,,
3 X 200ML,Marks & Spencer Percy Pig Fruit Juice Drink,Per Serving (),46kcal,0.4g,,0.1g,,,10.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01g,10.3g,,0.1g,0.4g,,,,,,,,,,,,,
330 ML,Wolf + Wald Organic Sparkling Apple Juice,Per Serving (330),,0.1g,0.1g,,,,,5.3g,,0g,,,,,,,,,,,,,,,,,,,,,,,5.5g,,,,,,,,,,,,,,,,,24kcal,0g,
250 ML,Muno Organic 100% Sea Buckthorn Juice,Per Serving (100),236kj,,,,,,,,,0.02g,,,78.5mg,5.5g,,,,,,,10.4g,,,,,,,,,,,,,,,,,,,,2g,,,0.65g,,,,,,,,1.1g
6 X 580ML,BOMY BOMY Grape Juice,Per Serving (),,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0g,,0g,,,,,,,,,,,,,,
2L,Marigold Peel Fresh Bottle Juice - Lime,Per Serving (250ml),110kcal,0g,0g,0g,,0mg,27.3g,,0g,20mg,,,38mg,,8mg,,500mcg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
