Drink Volume,Drink Name,Attributes,Energy,Protein,Total Fat,Carbohydrate,Calcium,Vitamin A,Vitamin B1,Vitamin D3,Carbohydrates,Saturated Fat,Sugars,Sodium,Calories,Total Sugars,Energy from Fat,Trans Fat,Cholesterol,Total Carbohydrates,Dietary Fibre,Calories from Fat,Monounsaturated Fat,Polyunsaturated Fat,Total Carbohydrate,Total Sugar,Monounsaturated Fatty Acid,Polyunsaturated Fatty Acid,Saturated Fatty Acid,Trans Fatty Acid,Salt,Cholestrol,Unsaturated Fat,Lactose,Sucrose,Calories From Fat,Saturated,Vitamin C,Iron,Fats,Natrium,Sugar,Fat,Trans fat,Dietary Fiber,Total fat,Saturated fat,Omega 6,Carbohyrate,Lipids,Salt equivalent,Phosphrous,Calorie,Potassium,Polyphenois,Caffeine,Per,Saturates Fat,Total Carb,Total Fats,Saturated Fats,Added Sugar,Caffeine Content,Per Serving,SaturatedFat,of which saturated fats,of which sugars,Fibres,Fibre,Serving Per,Added Sugars,Vitamin D,Total Calorieso,Calories From Saturated Fat,Salt (Sodium),Serving,TotalSugers,Monosaturated Fat,Satutated Fat,Total Dietary Fiber,Enery
10 pc,Punto Italia Espresso Nespresso Coffee Pods Lungo Crema,Per Serving (100g),,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 pc,Podista Nespresso Coffee Pods Supremo,Per Serving (100g),,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 pc,Punto Italia Espresso Dolce Gusto Coffee Pods Superiore,Per Serving (100g),,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90 G,UCC Craftsman's Coffee Instant Coffee Bittersweet Taste,Per Serving (),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 X 200G,Bru Original,Per Serving (),,,,,,,,,1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 x 465g (CTN),Nescafe Instant Ipoh White Coffee - Gao Siew Dai,Per Serving (31g),139kcal,0.5g,4.5g,24.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480 G,Mycofe 3 in 1 Ipoh White Coffee,Per Serving (40),180kcal,1g,,30g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24g,6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 X 100G,UCC The Blend 118 Strong Taste Instant Coffee,Per Serving (),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80 G,AGF Maxim Freeze Dried Instant Coffee Bottle,Per Serving (),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100g,Moccona Instant Coffee - Espreso Style,Per Serving (100g),135kcal,15.1g,0.2g,6.1g,,,,,,0.1g,3.3g,,,,,,,,,,,,,,,,,,0.4175g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 X 180ML,137 DEGREES Iced Coffee Latte with Almond Milk,Per Serving (),,2g,,,,,,,,,4g,30mg,,,,,0mg,,,,,,7g,,,,,,,,,,,,,,,,,,,0g,0g,5g,1.5g,1345mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
