Drink Volume,Drink Name,Attributes,Energy,Protein,Carbohydrate,Fat,Cholesterol,Sugars,Dietary Fibre,Sodium,Catechin,Potassium,Vitamin B3,Vitamin B6,Vitamin B12,Calories,Saturated Fat,Carbohydrates,Total Fat,Total Sugar,Tea Polyphenols,Trans Fat,Antioxidant,Added Sugars,Calcium,Vitamin C,Total Sugars,Theanine,Tea Polyphenois,Iron,Water,Ash,Magnesium,Phosphorus,Copper,Manganese,Riboflavin,Niacin,Folate,Asorbic Acid,Calories from Fat,Monounsaturated Fat,Polyunsaturated Fat,Per Serving Size,Fats,Vitamin A,Sugar,Catechin (mg),Vitamin B1,Vitamin B2,Salt equivalent,Caffeine,Total Carbohydrate,Total fat,Dietry fibre,Calories From Fat,Salt,Total Energy,Total Fats,Saturated fat,Amount per,Saturated fats,Total Carboyhdrate,Dietary fiber,Carbohyrate
6 x 250ml,Marigold Packet Drink - Ice Lemon Tea (Less Sweet),Per Serving (100ml),65kcal,1.8g,11.5g,,,9.6g,,,,,,,,,,,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500ml,Pokka Premium Bottle Drink - Milk Tea (Original),Per Serving (250ml),105kcal,1.5g,20.8g,,,19.0g,,53mg,,,,,,,1.3g,,1.8g,,,0.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 40g,Lao Qian Instant Drink - Milk Tea ,Per Serving (40g),193.2kcal,1g,29.6g,,,20.0g,,98mg,,,,,,,6.2g,,8.0g,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 300ml,Pokka Can Drink - Jasmine Green Tea ,Per Serving (300ml),72kcal,0g,18g,,0mg,18g,,18mg,,,,,,,0g,,0g,,90mg,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1L,Ito En Green Tea Bottle - Oji Ocha (Unsweetened),Per Serving (250ml),4kcal,0.3g,0.8g,,,0g,,30mg,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 20g,Lipton 3 in 1 Instant Milk Tea Latte - Teh Halia,Per Serving (21g),100kcal,0.7g,15.6g,3.6g,,10.4g,0.6g,50mg,,,,,,,3.6g,,,,,0g,,,,,,,,,,,,,,,,,,,,0g,0g,,,,,,,,,,,,,,,,,,,,,,
50g (25 per pack),Twinings Teabags - Earl Grey,Per Serving (200ml),1kcal,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 x 5g,Gingen Instant Ginger Powder - Original (No Sugar),Per Serving (5g),,0g,5g,,0mg,0g,0g,0mg,,,,,,20kcal,0g,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 x 18g,Super Instant Tea Infusions - Chrysanthemum with Honey,Per Serving (18g),71kcal,0.1g,17.6g,,,,0g,4mg,,,,,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 x 1.5g,Lipton Green Tea Bags - Lively Fresh,Per Serving (1.5g),0g,0g,0g,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
